state,x,y
Andhra Pradesh,-10,-85
Arunachal Pradesh,250,215
Assam,173,93
Bihar,50,115
Chhattisgarh,0,35
Goa,-150,-95
Gujarat,-210,-25
Haryana,-85,200
Himachal Pradesh,-90,240
Jharkhand,30,75
Karnataka,-114,-130
Kerala,-80,-220
Madhya Pradesh,-62,31
Maharashtra,-114,-43
Manipur,245,120
Meghalaya,190,70
Mizoram,235,50
Nagaland,230,140
Odisha,43,-15
Punjab,-105,165
Rajasthan,-140,96
Sikkim,150,160
Tamil Nadu,-63,-204
Telangana,-45,-35
Tripura,200,60
Uttar Pradesh,-22,99
Uttarakhand,-10,160
West Bengal,99,24
